student_name,branch,year,cgpa,coding_skills,dsa_score,ml_knowledge,frontend_skill,backend_skill,database_skill,cloud_computing,devops_skill,cybersecurity_skill,embedded_c,microcontrollers,arduino_skill,raspberry_pi_skill,rtos_knowledge,embedded_linux,firmware_development,device_drivers,digital_electronics,analog_electronics,pcb_design,circuit_design,vlsi_knowledge,verilog_vhdl,fpga_skill,iot_knowledge,sensor_integration,wireless_protocols,mqtt_protocol,edge_computing,robotics_skill,computer_vision,control_systems,ros_knowledge,communication_skills,leadership_score,problem_solving,teamwork_score,presentation_skill,innovation_score,projects_count,internships,preferred_role
Veda C. Krishnan,AI,3,7.01,87,79,86,0,0,73,50,20,46,17,32,7,0,39,19,0,18,27,0,26,10,52,5,13,27,0,18,30,18,29,68,28,25,59,91,59,53,32,26,7,2,ML Engineer
Advait P. Menon,CSE,3,7.29,92,75,43,55,85,56,54,71,29,28,6,8,5,42,24,35,26,3,30,0,65,18,5,0,20,22,18,30,33,42,25,17,51,58,73,64,66,26,42,5,1,Full Stack Developer
Vidya K. Iqbal,Civil,4,6.63,88,63,11,67,71,82,47,55,33,25,47,9,11,13,1,15,11,43,24,26,25,10,23,14,28,1,33,37,9,11,20,16,57,45,43,60,55,28,10,10,3,Full Stack Developer
Tanvi A. Paul,ECE,3,6.92,75,6,2,14,18,4,15,18,54,86,68,47,51,17,68,29,26,31,11,14,31,3,56,34,59,79,81,68,63,48,22,1,0,54,61,17,65,24,37,8,3,IoT Engineer
Nandini M. Varma,AI&DS,1,6.99,79,17,29,17,23,48,35,23,33,77,58,65,42,17,49,32,23,35,22,3,26,5,28,5,55,52,41,5,30,74,94,74,73,82,73,36,58,40,25,4,0,Robotics Engineer
Dev U. More,IT,2,7.05,60,50,12,23,62,37,67,39,61,12,0,2,14,12,21,37,30,32,21,18,6,11,30,13,41,15,27,27,44,20,26,17,20,60,70,30,68,38,34,4,2,Cybersecurity Analyst
Neha V. Chatterjee,IT,2,6.36,48,31,0,24,46,44,73,69,59,25,28,20,36,21,33,25,14,24,17,4,0,17,2,14,50,10,42,39,7,9,16,0,13,58,66,13,67,10,38,3,2,Cloud Engineer
Eesha N. Chawla,IT,3,6.95,67,80,67,42,13,66,69,26,36,25,3,21,35,43,25,17,31,3,12,10,2,12,16,30,34,37,5,0,2,21,63,3,27,29,85,51,83,9,21,2,2,ML Engineer
Priya N. Nambiar,AI,2,6.79,70,11,26,11,26,34,7,35,23,58,58,30,42,1,13,7,22,16,17,20,12,15,22,0,9,55,0,14,23,52,64,85,47,85,36,43,80,56,9,2,1,Robotics Engineer
Viniya V. Roy,CSBS,1,6.5,82,93,8,19,55,82,42,54,50,24,15,36,5,16,3,0,18,27,23,26,46,39,24,13,6,4,0,3,33,7,24,29,4,75,44,83,76,34,37,4,1,Backend Developer
Sachin N. Jadhav,AI&DS,2,7.3,81,75,12,28,74,62,26,33,67,0,10,26,15,12,0,26,36,15,27,21,10,16,17,37,29,0,20,35,33,21,19,22,6,57,79,63,62,29,27,5,1,Cybersecurity Analyst
Lakshya D. Sethi,EEE,3,7.66,68,5,22,12,28,4,14,19,9,73,67,50,7,29,33,60,69,77,67,75,54,21,13,0,39,9,25,15,26,44,25,8,25,65,56,38,56,19,34,2,4,Embedded Engineer
Jai T. Naidu,IT,3,7.11,64,16,47,45,90,94,79,65,54,18,14,40,43,13,48,12,31,33,27,11,0,36,29,47,28,24,22,29,3,30,12,17,10,69,76,41,97,17,22,5,2,Cloud Engineer
Krishna S. Peddireddy,CSBS,3,7.04,80,43,20,22,2,28,27,7,39,45,26,25,24,33,0,16,78,49,93,70,100,64,73,62,0,34,19,12,16,21,25,38,43,76,65,51,73,39,7,9,2,VLSI Engineer
Rohit S. Hegde,ECE,1,7.48,78,39,21,0,21,31,19,47,30,82,89,82,53,26,67,32,35,47,19,24,67,45,33,35,68,81,72,97,49,22,21,38,38,50,63,44,58,35,27,6,1,IoT Engineer
Mohan N. Sharma,Civil,3,6.95,88,11,27,4,11,5,24,32,43,36,20,16,0,34,11,34,45,69,84,76,78,83,75,71,27,0,13,38,18,26,9,4,27,56,60,31,59,29,14,4,2,VLSI Engineer
Suraj H. More,AI&DS,1,6.57,65,70,12,68,59,63,48,24,29,27,8,59,36,3,39,25,24,53,2,9,0,52,23,6,39,25,42,27,28,17,28,43,29,52,8,56,87,12,22,3,1,Full Stack Developer
Varun N. Naidu,CSBS,1,7.21,75,11,34,16,74,63,74,75,67,9,18,33,15,22,53,60,40,28,11,33,12,29,41,31,35,38,15,7,36,39,16,18,23,67,26,25,53,42,31,1,0,Cloud Engineer
Mihika P. Bhatia,CSBS,1,7.0,61,70,31,11,61,71,61,36,61,26,17,34,7,23,45,15,51,34,29,27,11,2,37,44,14,19,8,24,13,23,25,17,13,70,29,53,46,47,37,2,1,Backend Developer
Nithin C. Sharma,Civil,1,7.12,67,90,37,4,64,60,52,49,27,32,0,41,1,23,50,36,36,14,8,10,35,8,25,41,23,0,29,20,0,8,26,55,35,73,56,63,73,46,35,2,1,Backend Developer
Ishaan H. Sharma,Civil,3,7.5,64,40,26,30,45,49,11,33,28,64,50,35,33,17,24,16,34,19,28,17,9,61,54,27,48,55,31,29,34,72,86,78,75,52,60,48,75,24,41,5,1,Robotics Engineer
Raghav G. Chawla,IT,4,6.87,56,51,12,71,83,64,52,30,15,2,0,63,12,39,21,29,13,5,60,17,15,5,10,27,35,21,47,0,39,17,0,34,0,49,77,27,83,27,36,7,2,Full Stack Developer
Bhargav J. Atluri,EEE,2,6.99,80,15,1,36,50,9,16,24,22,60,33,0,22,23,28,26,88,52,65,78,71,52,52,79,46,7,22,8,4,19,7,74,0,76,67,36,53,49,26,6,2,VLSI Engineer
Ayush M. Singh,ECE,3,6.71,64,26,32,54,34,12,1,30,41,60,43,79,23,10,23,15,18,36,4,41,21,24,28,7,50,50,44,22,38,77,74,63,63,28,75,17,81,5,13,7,1,Robotics Engineer
Advait U. Rao,ECE,4,6.84,85,22,27,6,26,27,21,37,37,72,51,43,0,54,86,66,58,65,48,51,70,22,24,26,38,14,19,34,44,27,26,12,20,65,47,20,63,31,43,9,3,Embedded Engineer
Ayush A. Desai,EEE,2,7.34,92,39,7,19,32,40,9,57,40,73,66,46,5,64,75,89,100,48,37,54,78,16,28,28,34,49,43,24,22,8,25,34,0,47,38,38,72,36,23,5,1,Embedded Engineer
Aditi M. Nandi,CSE,3,7.61,59,37,33,0,3,14,58,13,28,60,54,44,44,28,23,9,20,14,22,38,6,42,26,39,52,55,28,43,20,61,56,69,70,57,62,40,57,21,32,6,3,Robotics Engineer
Raghav Y. Nayak,CSE,3,6.94,71,59,24,75,63,63,71,61,2,35,19,0,18,55,14,46,16,44,0,29,35,36,7,15,43,6,0,21,15,18,26,13,53,69,54,36,41,41,26,5,2,Full Stack Developer
Sahana M. Prasad,EEE,3,7.12,78,15,26,32,7,6,33,26,26,66,68,57,23,48,58,67,69,95,86,62,69,1,28,20,11,0,39,19,48,34,33,1,10,67,72,40,82,25,26,3,2,Embedded Engineer
Varun N. Jadhav,ECE,4,7.29,78,54,6,19,84,49,71,68,56,0,33,21,23,35,11,9,22,22,5,32,38,20,32,18,24,0,30,0,36,53,14,46,19,55,78,68,77,41,57,9,2,Cybersecurity Analyst
Gayathri V. Gowda,AI&DS,2,6.93,77,12,3,0,6,15,24,34,10,35,40,31,8,5,3,15,72,53,43,49,67,51,26,67,0,0,18,41,0,17,18,55,28,52,74,28,64,37,28,3,2,VLSI Engineer
Vaishnavi P. More,EEE,4,7.24,64,11,11,8,0,21,14,26,25,41,41,0,16,10,26,19,39,68,50,57,76,63,89,64,8,19,5,12,5,25,10,39,27,30,30,28,95,36,10,6,2,VLSI Engineer
Madhav V. Peddireddy,Data Science,4,6.68,83,59,17,0,67,47,45,44,69,24,51,20,25,4,20,16,32,26,0,24,6,25,14,4,15,35,0,30,21,21,20,15,26,50,48,62,65,31,28,6,2,Cybersecurity Analyst
Advait R. Bhat,EEE,2,6.65,78,64,21,33,63,70,59,64,58,27,33,0,30,9,34,11,15,25,29,14,32,47,12,12,8,1,15,13,40,8,41,31,5,76,48,55,71,20,43,6,2,Backend Developer
Hrithik J. Gowda,Mechanical,3,7.31,73,37,46,29,0,21,7,10,33,75,73,46,54,42,57,7,45,20,31,46,3,50,0,3,80,42,80,74,32,34,12,35,24,44,97,38,50,42,26,6,3,IoT Engineer
Divya T. Sen,Civil,4,7.35,80,43,27,20,28,26,0,27,29,81,93,67,4,35,48,94,86,74,63,53,87,27,40,10,39,23,0,24,16,10,6,0,45,55,48,43,59,11,38,9,2,Embedded Engineer
Anjali N. Desai,Civil,3,6.91,72,37,32,37,7,10,14,35,34,49,29,22,20,24,16,22,49,91,48,37,57,63,49,78,25,21,15,14,17,10,17,52,8,46,62,39,45,42,23,5,1,VLSI Engineer
Tanvi V. Varma,Data Science,4,7.37,72,63,81,35,31,78,34,12,11,10,18,0,0,17,41,2,0,14,66,32,7,1,0,1,27,26,13,19,20,31,62,10,25,49,53,50,61,19,3,8,2,ML Engineer
Amrita V. Ranganathan,EEE,1,7.25,93,56,50,41,6,1,13,41,21,94,66,78,63,45,69,30,25,31,16,26,0,24,34,31,81,82,100,69,42,10,10,7,32,40,43,54,52,25,38,5,1,IoT Engineer
Suraj P. Krishnamurthy,AI&DS,4,7.26,82,28,4,19,74,62,84,54,54,36,9,50,55,41,24,25,46,10,0,38,40,12,20,30,34,38,17,30,1,32,5,45,23,67,50,28,49,20,40,9,4,Cloud Engineer
Manish R. Satyanarayana,ECE,4,7.38,74,29,18,8,27,14,39,0,48,55,84,35,47,69,70,75,71,99,45,49,82,10,18,5,29,10,10,39,11,27,5,49,36,45,73,49,81,23,23,5,3,Embedded Engineer
Tejaswini V. Joshi,CSE,4,6.78,79,16,16,0,78,68,90,65,68,1,29,11,15,18,42,28,41,36,37,20,20,38,33,12,1,3,33,25,21,53,38,27,39,41,87,30,72,41,55,9,2,Cloud Engineer
Amrita P. Krishnamurthy,EEE,3,7.04,61,28,23,5,9,13,7,22,39,84,100,45,38,55,70,80,76,79,51,52,82,31,13,7,19,18,39,24,16,27,10,22,5,39,66,28,38,23,38,6,1,Embedded Engineer
Sachin P. Nair,AI,2,7.36,100,90,47,17,100,60,85,62,91,18,36,42,22,0,45,23,7,20,18,40,6,15,19,52,38,37,13,24,60,66,29,22,29,43,41,74,57,34,56,4,2,Cybersecurity Analyst
Dhruv S. Satyanarayana,Data Science,2,7.13,64,24,44,0,40,49,1,30,30,70,63,48,1,17,32,83,54,89,47,64,84,29,48,19,26,30,13,6,22,42,36,16,36,52,23,27,68,36,19,6,2,Embedded Engineer
Pranavi B. Sheikh,AI&DS,4,7.15,84,68,69,11,52,59,46,23,32,16,24,24,43,35,34,10,23,35,15,14,23,0,44,26,7,23,25,45,32,9,81,30,9,47,56,61,46,26,10,8,3,ML Engineer
Sanjay N. Mehta,AI&DS,4,7.8,76,96,62,99,80,87,49,62,36,28,39,29,9,20,0,39,2,1,41,17,45,32,44,16,46,57,28,26,23,22,19,19,26,57,71,72,84,34,67,7,3,Full Stack Developer
Aryan H. Naik,CSBS,3,7.43,75,55,12,22,4,26,42,3,25,83,62,56,32,23,37,34,13,36,13,49,11,30,23,10,52,60,27,21,23,63,70,53,91,67,70,38,88,47,39,4,2,Robotics Engineer
Ishaan P. Babu,Civil,3,7.15,26,72,6,25,41,65,44,47,20,33,22,0,17,29,38,19,25,10,22,21,3,11,0,45,49,31,11,19,18,4,9,25,0,55,90,45,74,30,4,5,3,Backend Developer
Lakshya U. Naik,CSBS,4,7.18,82,30,27,28,34,6,34,0,26,39,19,14,9,6,17,28,58,81,79,54,64,59,44,80,32,6,29,47,21,70,10,61,16,32,43,44,43,29,28,8,2,VLSI Engineer
Divya P. Sinha,Civil,3,7.7,64,22,0,21,28,64,22,21,14,51,65,45,2,28,40,42,27,39,0,45,21,33,27,0,47,31,11,7,0,84,60,88,79,49,63,32,73,25,32,4,2,Robotics Engineer
Vidya K. Iyengar,CSE,3,7.37,59,35,34,36,32,40,28,11,34,71,34,67,34,63,35,8,20,59,41,27,41,39,24,45,49,63,6,29,27,96,82,86,86,72,81,21,89,26,14,8,0,Robotics Engineer
Harini N. Verma,EEE,2,6.76,52,36,19,59,1,37,12,5,30,65,70,41,17,35,32,83,78,100,58,37,78,17,11,27,26,18,38,18,29,7,8,35,18,64,55,33,55,34,13,5,2,Embedded Engineer
Krishna M. Chatterjee,IT,2,6.69,66,60,65,28,1,98,73,15,25,32,0,22,29,26,6,37,23,31,0,30,23,0,19,8,15,9,0,32,30,20,60,22,11,27,78,48,60,7,20,2,0,ML Engineer
Kritika H. Ghosh,AI&DS,3,7.15,89,77,26,85,95,73,50,66,2,24,37,32,27,26,36,7,28,21,7,43,25,36,48,45,3,45,22,31,44,25,27,0,32,35,25,73,74,5,23,7,1,Full Stack Developer
Veda V. Rao,CSE,4,6.97,86,76,31,82,84,67,56,29,52,43,36,21,37,15,49,22,46,0,43,41,12,29,34,48,23,22,30,21,43,12,28,25,35,80,70,73,47,56,51,9,2,Full Stack Developer
Anjali H. Pillai,AI,3,7.22,78,21,39,23,5,0,18,26,56,69,18,44,8,13,10,13,76,46,59,48,69,71,59,88,36,17,18,14,18,34,44,58,22,49,44,31,56,37,17,7,2,VLSI Engineer
Suraj C. Sheikh,CSE,1,7.37,79,22,49,4,0,13,34,27,31,67,34,72,26,8,23,33,44,3,37,14,2,16,19,21,44,48,61,5,16,82,74,72,69,90,80,49,90,47,24,1,1,Robotics Engineer
Sahana A. Bose,EEE,2,7.77,100,54,36,20,31,50,17,13,28,94,91,85,29,56,61,75,57,77,55,46,85,48,41,31,18,17,32,0,20,40,47,6,42,51,69,50,67,29,40,1,1,Embedded Engineer
Ishaan A. Naidu,EEE,2,6.85,95,67,25,13,59,30,37,19,39,49,32,37,36,25,25,19,31,58,68,36,60,56,96,72,26,47,14,42,29,18,17,66,0,64,60,54,87,49,40,6,1,VLSI Engineer
Abhinav B. Iyengar,Civil,2,6.91,85,4,41,8,80,64,86,75,52,5,11,0,28,0,28,26,26,26,34,30,49,32,17,18,23,45,8,4,45,23,28,21,23,77,37,1,56,48,1,5,3,Cloud Engineer
Amrita V. Kapoor,IT,3,7.28,63,16,30,40,10,12,0,30,20,27,16,27,37,21,0,28,38,77,46,55,59,71,92,50,18,26,22,22,21,17,39,36,0,53,63,22,66,29,31,7,3,VLSI Engineer
Rhea U. Malhotra,IT,1,7.3,69,57,56,48,55,53,71,61,30,26,20,15,0,27,40,25,10,15,47,18,7,12,4,12,25,12,30,2,8,16,33,45,19,53,87,52,49,18,36,2,1,Full Stack Developer
Deepika A. Kapoor,AI,2,7.2,42,57,45,10,88,70,27,71,73,27,11,28,12,52,26,20,14,5,16,43,36,12,26,21,30,19,18,36,34,16,0,17,13,54,57,46,67,34,18,4,1,Backend Developer
Riya R. Chawla,Mechanical,3,6.98,70,32,21,9,10,17,10,37,31,62,65,24,24,6,29,20,25,28,0,48,42,3,20,21,70,69,74,72,47,10,0,55,11,52,44,44,100,26,12,5,3,IoT Engineer
Bhavya N. Menon,AI,4,7.38,41,22,10,46,29,35,22,10,4,76,12,36,8,0,24,5,76,63,72,49,92,86,65,60,0,13,42,0,27,37,22,62,6,68,50,20,72,30,29,4,2,VLSI Engineer
Charitha K. Nair,IT,3,7.04,71,6,17,27,44,0,18,10,4,59,0,41,28,31,44,1,55,77,65,58,66,78,52,76,22,15,28,17,22,22,20,21,39,53,81,19,52,31,20,2,2,VLSI Engineer
Sanjay Y. More,EEE,4,7.0,89,9,14,42,0,0,52,12,12,64,34,55,15,3,11,6,35,23,2,2,16,25,24,7,81,82,9,13,30,60,96,78,61,58,72,24,49,35,29,8,2,Robotics Engineer
Shruthi B. Iyer,Mechanical,2,6.72,76,35,0,7,39,12,40,28,33,58,54,66,19,52,66,42,99,68,43,52,59,17,43,26,18,14,36,32,21,15,0,10,11,45,60,32,40,33,6,7,1,Embedded Engineer
Lakshya V. Patil,ECE,4,7.44,80,44,13,23,8,13,37,35,18,83,72,56,14,69,73,73,80,83,63,63,78,18,12,0,31,42,19,18,18,8,6,28,36,40,67,17,56,12,18,8,2,Embedded Engineer
Vinay B. Babu,CSE,3,6.82,100,81,32,44,65,79,48,68,64,11,37,33,2,20,22,36,41,44,8,41,17,19,0,0,18,56,25,20,17,22,14,51,21,39,65,75,59,22,30,5,1,Backend Developer
Mohan C. Shetty,ECE,3,7.03,78,76,0,67,63,63,38,63,6,30,23,31,11,0,10,6,39,18,11,32,29,41,0,17,18,29,0,0,11,27,18,31,21,68,66,60,70,52,48,7,2,Full Stack Developer
Pallavi G. Saha,CSBS,4,6.77,71,69,45,78,85,79,51,54,26,18,0,0,11,16,16,5,15,23,36,14,36,0,22,13,26,47,40,7,27,3,27,31,14,63,100,54,54,36,49,7,3,Full Stack Developer
Bhargav M. Babu,CSBS,3,6.98,76,100,26,78,77,55,42,60,29,15,8,36,27,5,5,21,0,4,24,26,11,31,9,26,19,14,10,14,16,12,38,28,44,69,34,79,43,37,49,6,1,Full Stack Developer
Sagar R. Khanna,AI&DS,1,6.71,79,77,68,28,13,69,46,0,0,5,30,29,23,28,12,22,13,23,20,15,29,24,16,22,40,5,10,53,7,30,56,19,24,71,31,78,56,36,48,3,1,ML Engineer
Sanjana H. Shah,Data Science,4,7.07,72,64,45,4,50,51,59,46,61,9,18,33,4,27,28,36,15,40,0,31,20,21,10,0,20,27,54,27,21,0,14,27,40,74,97,49,63,49,24,7,3,Backend Developer
Vaishnavi R. Malhotra,AI&DS,2,6.85,93,97,68,41,40,67,80,12,36,20,9,23,25,55,44,24,18,20,27,14,26,26,5,24,29,11,16,28,37,15,77,34,16,42,69,81,56,39,46,3,2,ML Engineer
Manish V. Varma,Mechanical,2,6.44,78,86,0,16,66,46,62,74,77,0,8,14,14,33,21,18,28,15,12,21,21,31,35,2,50,13,13,15,16,23,34,50,1,60,25,69,48,30,60,3,1,Cybersecurity Analyst
Anjali S. Dutta,CSE,1,6.89,59,87,48,71,75,93,62,56,40,8,27,25,33,8,27,48,23,44,26,55,23,31,44,35,22,11,19,30,24,54,26,24,44,45,67,67,68,12,40,4,3,Full Stack Developer
Vidya J. Bhatia,ECE,1,6.11,67,60,34,28,68,63,43,52,89,12,23,21,10,30,41,14,11,34,17,28,55,32,29,21,48,24,7,22,17,63,7,15,55,63,15,44,76,40,47,2,3,Cybersecurity Analyst
Jai J. Hegde,CSE,4,7.37,73,0,24,38,12,30,10,2,41,70,47,65,0,15,27,17,11,20,29,10,13,25,26,35,27,68,44,25,26,85,82,58,94,48,89,25,46,30,0,9,3,Robotics Engineer
Kavya S. Hegde,ECE,2,6.34,81,22,16,43,70,70,60,67,42,3,0,15,21,34,14,12,5,22,45,21,48,24,26,3,27,29,29,23,39,25,6,47,28,83,32,13,61,53,33,6,3,Cloud Engineer
Veda P. Nair,Data Science,3,7.58,71,0,27,11,8,11,34,34,25,70,38,35,33,26,34,7,74,68,85,53,79,60,87,70,40,26,8,16,27,10,26,66,39,65,50,17,72,32,20,7,1,VLSI Engineer
Meghana L. Sharma,CSBS,1,7.02,53,37,16,12,6,33,26,7,12,83,72,59,52,29,22,22,10,37,23,30,38,54,17,17,88,85,81,60,67,0,36,0,39,51,63,15,87,31,4,3,0,IoT Engineer
Nikhil N. Hegde,IT,1,6.64,78,26,0,36,0,9,7,36,11,70,26,45,2,29,5,44,12,0,17,11,22,20,0,31,64,48,35,1,14,86,56,74,51,64,34,53,41,38,19,3,0,Robotics Engineer
Harini A. Paul,AI&DS,1,6.5,71,43,16,14,33,9,33,13,29,53,36,34,39,25,34,30,16,45,18,14,36,5,39,19,38,89,38,25,9,65,81,69,88,48,48,42,66,28,38,4,0,Robotics Engineer
Lakshmi L. Satyanarayana,Data Science,3,7.4,88,0,10,56,40,24,20,13,16,79,65,59,22,33,4,35,30,14,1,9,34,3,6,37,59,40,0,14,26,76,62,97,70,50,96,22,62,22,34,5,2,Robotics Engineer
Gayathri C. Desai,CSE,3,6.82,64,45,4,29,20,4,26,0,43,76,64,43,21,23,47,61,59,66,73,55,54,46,29,0,23,0,20,28,25,55,0,33,0,63,40,49,69,48,29,6,1,Embedded Engineer
Rhea G. Joshi,AI&DS,2,6.9,65,73,75,31,25,60,53,34,23,29,22,41,28,14,11,18,0,51,21,19,12,24,11,10,12,18,20,11,51,35,75,2,17,51,49,71,52,10,37,4,2,ML Engineer
Hrithik N. Khan,EEE,4,7.32,64,16,25,0,56,6,41,22,32,72,64,51,43,73,52,62,76,71,63,62,79,13,20,3,48,16,16,24,9,4,33,3,11,49,49,26,51,21,27,9,2,Embedded Engineer
Eesha J. Banerjee,AI&DS,3,7.49,71,88,63,5,28,51,62,3,47,22,45,58,12,24,16,36,6,10,31,26,18,11,28,32,19,18,6,15,15,10,79,21,25,42,61,53,71,23,39,5,2,ML Engineer
Samarth K. Jadhav,Data Science,4,6.92,59,75,80,29,13,73,32,19,31,20,27,23,18,50,47,24,22,22,13,21,32,20,33,0,12,33,29,26,5,44,71,49,41,63,71,62,71,42,29,3,3,ML Engineer
Ishita T. Gupta,Mechanical,4,6.8,77,77,23,0,94,88,60,52,57,11,21,22,3,9,29,43,32,51,33,4,47,41,10,0,16,38,10,8,14,11,32,29,17,57,35,56,92,18,41,6,2,Backend Developer
Dev J. Atluri,CSBS,4,7.34,57,0,0,25,30,19,30,3,33,58,26,23,9,31,13,37,15,75,68,62,71,73,65,53,0,11,32,22,21,19,37,59,14,64,52,32,55,44,37,9,2,VLSI Engineer
Siddharth V. Iyengar,CSBS,2,6.56,61,69,20,85,55,65,27,66,14,0,22,29,31,26,26,8,0,10,33,16,35,0,13,26,0,17,0,0,34,0,8,38,25,38,51,53,53,20,33,4,0,Full Stack Developer
Rhea C. Chakraborty,EEE,1,6.31,70,51,8,31,83,43,66,35,63,12,27,45,35,34,7,18,27,23,20,6,47,16,26,5,18,9,7,11,23,7,0,10,36,59,41,55,35,37,45,3,0,Backend Developer
Arjun H. Krishnamurthy,CSBS,3,7.26,81,6,29,20,26,5,49,20,0,33,49,25,8,59,29,11,51,73,71,65,100,85,62,79,36,44,21,43,12,4,7,66,30,82,64,32,62,28,39,6,2,VLSI Engineer
Vishal R. Nair,AI,4,7.07,70,94,57,17,24,71,59,12,44,0,30,27,29,32,23,49,10,12,17,20,25,18,43,30,21,10,17,18,41,26,80,0,29,47,67,49,91,24,22,6,3,ML Engineer
Tarun M. Prasad,IT,1,6.96,74,95,20,14,60,28,46,63,64,13,32,13,24,25,56,29,39,16,27,54,42,21,30,33,25,18,18,49,0,28,52,13,34,45,72,69,46,30,42,4,1,Cybersecurity Analyst
Sanjana S. Chawla,AI&DS,3,7.81,65,10,4,47,45,23,1,50,21,52,25,43,17,6,12,37,58,63,67,61,57,66,79,71,30,28,3,0,0,13,26,63,21,84,54,21,69,50,9,6,3,VLSI Engineer
Vaishnavi B. Naidu,EEE,3,7.1,76,33,5,0,28,25,16,18,46,44,68,76,10,20,23,34,47,18,39,26,18,40,4,43,63,62,35,25,19,79,72,41,71,67,48,47,60,34,38,5,2,Robotics Engineer
Kavya G. Naidu,CSBS,3,7.2,76,76,46,79,56,81,42,41,10,6,27,20,34,52,8,52,23,44,23,15,23,29,7,42,15,34,16,5,31,20,33,50,15,79,100,50,59,47,26,5,3,Full Stack Developer
Deepika H. Sinha,IT,2,6.95,59,8,16,20,89,65,55,59,24,18,31,32,28,28,16,39,10,0,21,30,19,11,10,29,20,30,3,14,12,10,8,0,21,47,77,15,51,0,16,5,1,Cloud Engineer
Sanjay M. Saladi,CSBS,1,6.62,71,77,10,64,66,59,30,40,2,16,10,8,31,31,0,18,23,41,6,18,21,0,59,24,28,26,16,31,22,17,34,16,41,60,59,61,69,46,50,5,0,Full Stack Developer
Tarun D. Banerjee,CSBS,4,6.96,70,69,36,32,80,63,24,30,68,19,18,43,2,5,18,10,27,36,29,19,42,9,32,0,25,21,26,0,14,39,28,24,18,62,73,57,44,30,16,8,2,Backend Developer
Vedant S. Menon,IT,2,6.76,57,53,30,11,66,91,46,72,71,39,44,30,23,25,23,11,0,48,22,4,16,24,28,34,46,17,18,25,13,42,21,13,23,47,50,33,70,14,38,6,0,Backend Developer
Lasya P. Bhatia,CSBS,4,6.71,77,92,9,23,67,68,37,60,57,22,20,38,33,22,42,21,34,20,15,32,39,24,12,17,35,26,22,20,17,10,23,16,46,44,76,67,78,27,54,5,4,Backend Developer
Meghana U. Koppula,Data Science,1,6.8,80,15,48,20,31,7,13,59,13,59,63,42,42,6,62,35,0,0,6,50,15,12,26,4,60,67,64,85,46,26,18,7,0,85,56,14,98,34,31,3,1,IoT Engineer
Navya M. Khan,EEE,4,7.03,54,21,43,21,61,70,69,75,33,18,3,28,3,17,33,46,12,36,39,38,25,0,14,22,0,0,11,4,23,21,32,24,23,82,70,37,70,58,28,6,2,Cloud Engineer
Advait V. Roy,AI&DS,4,7.46,75,30,13,26,63,0,19,35,0,58,20,34,27,30,42,2,69,70,81,58,80,68,97,60,28,57,35,10,21,29,27,51,40,65,51,24,62,26,23,6,3,VLSI Engineer
Radhika J. Gowda,CSE,3,6.96,66,80,37,27,87,64,41,69,43,5,37,12,4,42,4,25,8,0,17,14,8,16,24,29,31,0,25,18,0,19,31,0,0,66,49,82,65,45,28,5,1,Backend Developer
Vaishnavi R. Saladi,ECE,4,7.12,73,54,28,21,21,7,10,39,13,63,0,6,29,31,27,6,48,73,64,57,54,67,80,60,0,11,41,13,50,24,44,45,27,52,93,39,29,28,28,6,3,VLSI Engineer
Aditya T. Koppula,ECE,4,7.33,89,4,27,0,34,0,62,16,18,73,88,65,68,26,52,0,27,25,19,17,45,26,0,10,85,93,95,65,49,52,3,46,20,44,47,20,58,39,13,6,4,IoT Engineer
Ananya A. Shah,IT,1,6.27,66,63,6,4,62,49,51,68,54,0,6,22,16,2,5,24,3,10,13,27,11,7,31,10,5,19,17,0,0,28,7,0,3,54,95,58,89,40,48,2,1,Backend Developer
Jai N. Kompella,AI&DS,3,6.98,89,69,22,77,64,84,68,38,37,13,33,41,30,35,28,14,40,9,10,0,27,43,7,18,16,0,43,41,29,17,27,53,10,36,52,65,36,24,18,8,1,Full Stack Developer
Sanjay P. Rao,Civil,2,6.66,71,18,8,0,22,2,32,0,18,70,69,45,55,41,49,62,82,75,67,32,88,12,12,10,14,7,47,0,0,43,14,37,19,59,19,21,70,37,11,4,1,Embedded Engineer
Dhruv C. Kulkarni,EEE,4,7.11,68,62,67,28,6,69,55,0,0,26,37,19,16,0,42,14,0,30,25,0,17,17,20,31,17,10,7,16,4,53,61,21,9,44,91,48,88,35,7,7,3,ML Engineer
Manish M. Shetty,AI,3,6.92,63,71,63,9,43,69,43,39,4,12,36,0,15,17,17,17,4,23,27,0,20,22,32,31,45,10,6,16,16,0,67,40,8,75,57,55,80,32,44,6,1,ML Engineer
Avani B. Chawla,Data Science,3,6.65,69,61,36,34,42,58,24,63,64,34,34,10,14,0,32,10,3,10,12,0,0,0,11,23,8,25,33,4,34,40,27,18,8,56,72,23,74,52,6,6,2,Cybersecurity Analyst
Meera D. Gowda,Civil,4,6.85,70,15,0,21,0,31,17,5,44,45,0,29,1,43,16,11,26,54,56,50,70,66,61,49,32,8,37,4,22,30,25,70,0,45,61,25,100,3,12,8,2,VLSI Engineer
Vinay K. Kulkarni,Data Science,1,7.03,69,72,99,17,29,70,49,15,11,44,19,8,7,27,15,24,22,40,17,25,25,17,21,7,26,35,30,27,5,35,76,25,8,51,46,63,37,26,27,4,2,ML Engineer
